
"Number of sound file != 3 for user:20170429165922 ",statementIdMapFunction,UsersClass,20170429165922,-1,29-04-2017 17:00:11
"Statement list empty for user:20170429165922",Evaluate,UsersClass,20170429165922,-1,29-04-2017 17:02:03
